tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0366721	movie	Trilogy: The Weeping Meadow	Trilogia: To livadi pou dakryzei	0	2004	\N	170	Drama,History,Romance	7.8	5604
tt0366777	movie	Millions	Millions	0	2004	\N	98	Comedy,Crime,Drama	6.8	26941
tt0366780	movie	Mirrormask	Mirrormask	0	2005	\N	101	Drama,Fantasy	6.7	24087
tt0366840	movie	Okkadu	Okkadu	0	2003	\N	171	Action,Drama,Romance	8.0	11344
tt0366943	movie	Reconstruction	Reconstruction	0	2003	\N	90	Drama,Romance	7.3	7745
tt0366996	movie	The Saddest Music in the World	The Saddest Music in the World	0	2003	\N	100	Comedy,Musical	7.0	6485
tt0367027	movie	Shortbus	Shortbus	0	2006	\N	101	Comedy,Drama,Romance	6.4	36603
tt0367082	movie	Fateless	Sorstalanság	0	2005	\N	140	Drama,Romance,War	7.0	7345
tt0367089	movie	The Squid and the Whale	The Squid and the Whale	0	2005	\N	81	Comedy,Drama	7.3	93712
tt0367110	movie	Swades	Swades: We, the People	0	2004	\N	189	Drama,Musical	8.2	103035
tt0367188	movie	Modigliani	Modigliani	0	2004	\N	128	Biography,Drama	7.2	12908
tt0367479	movie	After the Sunset	After the Sunset	0	2004	\N	97	Action,Comedy,Crime	6.2	51916
tt0367495	movie	Anbe Sivam	Anbe Sivam	0	2003	\N	160	Adventure,Comedy,Drama	8.6	27286
tt0367594	movie	Charlie and the Chocolate Factory	Charlie and the Chocolate Factory	0	2005	\N	115	Adventure,Comedy,Family	6.7	556756
tt0367790	movie	Baadasssss!	How to Get the Man's Foot Outta Your Ass	0	2003	\N	109	Biography,Drama	7.3	5346
tt0367859	movie	The Man Who Copied	O Homem que Copiava	0	2003	\N	124	Comedy,Crime,Drama	7.6	12201
tt0367882	movie	Indiana Jones and the Kingdom of the Crystal Skull	Indiana Jones and the Kingdom of the Crystal Skull	0	2008	\N	122	Action,Adventure	6.2	506390
tt0367913	movie	Ju-On: The Grudge 2	Ju-on 2	0	2003	\N	92	Drama,Horror,Mystery	6.3	11751
tt0367959	movie	Hannibal Rising	Hannibal Rising	0	2007	\N	121	Adventure,Crime,Drama	6.1	119848
tt0367975	movie	Lisbela and the Prisoner	Lisbela e o Prisioneiro	0	2003	\N	106	Comedy,Romance	7.6	7708
tt0368008	movie	The Manchurian Candidate	The Manchurian Candidate	0	2004	\N	129	Drama,Mystery,Sci-Fi	6.6	121171
tt0368222	movie	Romance & Cigarettes	Romance & Cigarettes	0	2005	\N	105	Comedy,Musical,Romance	6.2	13309
tt0368447	movie	The Village	The Village	0	2004	\N	108	Drama,Mystery,Thriller	6.6	290890
tt0368619	movie	Brides	Nyfes	0	2004	\N	128	Drama,Romance	7.6	5202
tt0368658	movie	Stage Beauty	Stage Beauty	0	2004	\N	106	Drama	7.1	10986
tt0368667	movie	Interstella 5555: The 5tory of the 5ecret 5tar 5ystem	Interstella 5555: The 5tory of the 5ecret 5tar 5ystem	0	2003	\N	68	Adventure,Animation,Music	7.8	17195
tt0368709	movie	Elizabethtown	Elizabethtown	0	2005	\N	123	Comedy,Drama,Romance	6.3	74394
tt0368774	movie	The Heart Is Deceitful Above All Things	The Heart Is Deceitful Above All Things	0	2004	\N	97	Drama	6.2	7433
tt0368794	movie	I'm Not There	I'm Not There	0	2007	\N	135	Biography,Drama,Music	6.8	62933
tt0368891	movie	National Treasure	National Treasure	0	2004	\N	131	Action,Adventure,Mystery	6.9	370128
tt0368909	movie	Ong-Bak: The Thai Warrior	Ong-Bak	0	2003	\N	105	Action,Crime,Thriller	7.1	80380
tt0368913	movie	Osama	Osama	0	2003	\N	83	Drama	7.3	9765
tt0369053	movie	Separate Lies	Separate Lies	0	2005	\N	85	Crime,Drama,Romance	6.4	5081
tt0369060	movie	Infernal Affairs II	Mou gaan dou II	0	2003	\N	119	Action,Crime,Drama	7.2	20712
tt0369339	movie	Collateral	Collateral	0	2004	\N	120	Action,Crime,Drama	7.5	455465
tt0369441	movie	Fun with Dick and Jane	Fun with Dick and Jane	0	2005	\N	90	Comedy,Crime	6.2	159887
tt0369610	movie	Jurassic World	Jurassic World	0	2015	\N	124	Action,Adventure,Sci-Fi	6.9	713557
tt0369672	movie	A Love Song for Bobby Long	A Love Song for Bobby Long	0	2004	\N	119	Drama	7.1	27890
tt0369702	movie	The Sea Inside	Mar adentro	0	2004	\N	126	Biography,Drama	8.0	87358
tt0370986	movie	Mysterious Skin	Mysterious Skin	0	2004	\N	105	Drama	7.6	81993
tt0371246	movie	Spanglish	Spanglish	0	2004	\N	131	Comedy,Drama,Romance	6.4	91423
tt0371257	movie	Stay	Stay	0	2005	\N	99	Drama,Mystery,Thriller	6.7	90823
tt0371280	movie	Crimson Gold	Talaye sorkh	0	2003	\N	95	Crime,Drama,Thriller	7.4	5632
tt0371552	movie	Asterix and the Vikings	Asterix and the Vikings	0	2006	\N	78	Adventure,Animation,Comedy	6.0	13288
tt0371724	movie	The Hitchhiker's Guide to the Galaxy	The Hitchhiker's Guide to the Galaxy	0	2005	\N	109	Adventure,Comedy,Sci-Fi	6.7	214093
tt0371735	movie	Hungama	Hungama	0	2003	\N	153	Comedy,Drama,Romance	7.6	18299
tt0371746	movie	Iron Man	Iron Man	0	2008	\N	126	Action,Adventure,Sci-Fi	7.9	1189517
tt0372183	movie	The Bourne Supremacy	The Bourne Supremacy	0	2004	\N	108	Action,Mystery,Thriller	7.7	503393
tt0372334	movie	House of D	House of D	0	2004	\N	97	Comedy,Drama	6.8	10101
tt0372532	movie	The Wedding Date	The Wedding Date	0	2005	\N	90	Comedy,Romance	6.1	58247
tt0372588	movie	Team America: World Police	Team America: World Police	0	2004	\N	98	Action,Comedy	7.2	183296
tt0372784	movie	Batman Begins	Batman Begins	0	2005	\N	140	Action,Crime,Drama	8.2	1666413
tt0372824	movie	The Chorus	Les choristes	0	2004	\N	97	Drama,Music	7.8	70157
tt0373024	movie	Imaginary Heroes	Imaginary Heroes	0	2004	\N	111	Drama	7.0	10259
tt0373074	movie	Kung Fu Hustle	Kung Fu Hustle	0	2004	\N	99	Action,Comedy,Fantasy	7.7	159132
tt0373283	movie	Saints and Soldiers	Saints and Soldiers	0	2003	\N	90	Action,Drama,War	6.6	21873
tt0373450	movie	Where the Truth Lies	Where the Truth Lies	0	2005	\N	107	Crime,Mystery,Thriller	6.4	19293
tt0373469	movie	Kiss Kiss Bang Bang	Kiss Kiss Bang Bang	0	2005	\N	103	Comedy,Crime,Mystery	7.5	245606
tt0373856	movie	Gangaajal	Gangaajal	0	2003	\N	157	Action,Crime,Drama	7.8	18795
tt0373861	movie	The Story of the Weeping Camel	Die Geschichte vom weinenden Kamel	0	2003	\N	93	Documentary,Drama,Family	7.4	6510
tt0373883	movie	Halloween	Halloween	0	2007	\N	109	Horror	6.1	135897
tt0373889	movie	Harry Potter and the Order of the Phoenix	Harry Potter and the Order of the Phoenix	0	2007	\N	138	Action,Adventure,Family	7.5	675486
tt0373926	movie	The Interpreter	The Interpreter	0	2005	\N	128	Crime,Mystery,Thriller	6.4	112917
tt0373981	movie	Control	Kontroll	0	2003	\N	111	Comedy,Crime,Drama	7.6	27928
tt0374271	movie	In Your Name	Tere Naam	0	2003	\N	132	Action,Drama,Romance	7.2	21948
tt0374339	movie	Infernal Affairs III	Mou gaan dou III: Jung gik mou gaan	0	2003	\N	118	Action,Crime,Drama	6.8	15418
tt0374345	movie	The Memory of a Killer	De zaak Alzheimer	0	2003	\N	123	Action,Crime,Drama	7.2	10864
tt0374546	movie	Spring, Summer, Fall, Winter... and Spring	Bom yeoreum gaeul gyeoul geurigo bom	0	2003	\N	103	Drama,Romance	8.0	89493
tt0374569	movie	Che: Part Two	Che: Part Two	0	2008	\N	135	Biography,Drama,History	6.8	35989
tt0374583	movie	Look at Me	Comme une image	0	2004	\N	110	Comedy,Drama,Music	6.8	5571
tt0374584	movie	Control	Control	0	2004	\N	104	Action,Crime,Thriller	6.2	8292
tt0374887	movie	Munna Bhai M.B.B.S.	Munna Bhai M.B.B.S.	0	2003	\N	156	Comedy,Drama	8.2	93369
tt0374900	movie	Napoleon Dynamite	Napoleon Dynamite	0	2004	\N	96	Comedy	7.0	250028
tt0375063	movie	Sideways	Sideways	0	2004	\N	127	Comedy,Drama,Romance	7.5	212975
tt0375154	movie	Tristan + Isolde	Tristan + Isolde	0	2006	\N	125	Action,Drama,Romance	6.8	55267
tt0375173	movie	Alfie	Alfie	0	2004	\N	103	Comedy,Drama,Romance	6.2	56026
tt0375233	movie	Innocence	Innocence	0	2004	\N	122	Drama,Mystery	6.8	6806
tt0375568	movie	Astro Boy	Astro Boy	0	2009	\N	94	Action,Adventure,Animation	6.2	41934
tt0375571	movie	Aayitha Ezhuthu	Aayitha Ezhuthu	0	2004	\N	160	Action,Drama,Thriller	7.9	5382
tt0375611	movie	Black	Black	0	2005	\N	122	Drama	8.1	37083
tt0375679	movie	Crash	Crash	0	2004	\N	112	Crime,Drama,Thriller	7.7	457376
tt0375735	movie	Enduring Love	Enduring Love	0	2004	\N	100	Drama,Mystery,Romance	6.3	11226
tt0375878	movie	Kaakha Kaakha	Kaakha Kaakha	0	2003	\N	153	Action,Crime,Drama	8.0	7323
tt0375912	movie	Layer Cake	Layer Cake	0	2004	\N	105	Crime,Drama,Thriller	7.2	204214
tt0375920	movie	The Libertine	The Libertine	0	2004	\N	114	Biography,Drama,History	6.2	38450
tt0376076	movie	Pithamagan	Pithamagan	0	2003	\N	139	Action,Crime,Drama	8.3	8110
tt0376127	movie	Anniyan	Anniyan	0	2005	\N	181	Action,Crime,Drama	8.4	24381
tt0376136	movie	The Rum Diary	The Rum Diary	0	2011	\N	119	Comedy,Drama	6.1	109499
tt0376479	movie	American Pastoral	American Pastoral	0	2016	\N	108	Crime,Drama,Mystery	6.1	19107
tt0376541	movie	Closer	Closer	0	2004	\N	104	Drama,Romance	7.1	246457
tt0376543	movie	Color Me Kubrick	Colour Me Kubrick: A True...ish Story	0	2005	\N	86	Comedy,Drama	6.1	7082
tt0376968	movie	The Return	Vozvrashchenie	0	2003	\N	110	Drama	7.9	48838
tt0376994	movie	X-Men: The Last Stand	X-Men: The Last Stand	0	2006	\N	104	Action,Adventure,Sci-Fi	6.6	563885
tt0377062	movie	Flight of the Phoenix	Flight of the Phoenix	0	2004	\N	113	Action,Adventure,Drama	6.1	58194
tt0377084	movie	Ladies in Lavender	Ladies in Lavender	0	2004	\N	104	Drama,Music,Romance	7.0	13399
tt0377091	movie	Mean Creek	Mean Creek	0	2004	\N	90	Crime,Drama	7.1	34334
tt0377092	movie	Mean Girls	Mean Girls	0	2004	\N	97	Comedy	7.1	469191
tt0377107	movie	Proof	Proof	0	2005	\N	100	Drama,Mystery	6.7	47163
tt0377556	movie	Goodbye, Dragon Inn	Bu san	0	2003	\N	82	Comedy,Drama	7.1	6853
tt0377752	movie	Dear Frankie	Dear Frankie	0	2004	\N	105	Drama,Romance	7.7	22907
tt0377800	movie	Don't Come Knocking	Don't Come Knocking	0	2005	\N	122	Drama,Music	6.6	8224
tt0378072	movie	Hum Tum	Hum Tum	0	2004	\N	143	Comedy,Drama,Romance	7.0	15750
tt0378194	movie	Kill Bill: Vol. 2	Kill Bill: Vol. 2	0	2004	\N	137	Action,Crime,Thriller	8.0	845541
tt0378215	movie	King's Game	Kongekabale	0	2004	\N	107	Drama,Thriller	7.3	5159
tt0378284	movie	Machuca	Machuca	0	2004	\N	121	Biography,Drama,History	7.7	13002
tt0378793	movie	Speak	Speak	0	2004	\N	89	Drama	7.2	31425
tt0378897	movie	A Touch of Spice	Politiki kouzina	0	2003	\N	108	Drama	7.4	15314
